x,y,z
-97.13545989990234,86.89057922363281,-1.3943562507629395
-97.13545989990234,62.89058303833008,-1.3943562507629395
-97.13545989990234,52.22391319274902,-1.3943562507629395
-97.13545989990234,31.557249069213867,-1.3943562507629395
-97.13545989990234,10.890582084655762,-1.3943562507629395
-97.13545989990234,-9.776084899902344,-1.3943562507629395
-97.13545989990234,-30.44275188446045,-1.3943562507629395
-97.13545989990234,-51.109418869018555,-1.3943562507629395
-97.13545989990234,-61.776084899902344,-1.3943562507629395
-97.13545989990234,-85.77608489990234,-1.3943562507629395
-97.13545989990234,-16.151085376739502,-1.3943562507629395
-97.13545989990234,16.86171054840088,-1.3943562507629395
-64.46879577636719,86.89057922363281,-1.3943562507629395
-64.46879577636719,62.89058303833008,-1.3943562507629395
-64.46879577636719,52.22391319274902,-1.3943562507629395
-64.46879577636719,31.557249069213867,-1.3943562507629395
-64.46879577636719,10.890582084655762,-1.3943562507629395
-64.46879577636719,-9.776084899902344,-1.3943562507629395
-64.46879577636719,-30.44275188446045,-1.3943562507629395
-64.46879577636719,-51.109418869018555,-1.3943562507629395
-64.46879577636719,-61.776084899902344,-1.3943562507629395
-64.46879577636719,-16.151085376739502,-1.3943562507629395
-64.46879577636719,16.86171054840088,-1.3943562507629395
-45.135459899902344,86.89057922363281,-1.3943562507629395
-45.135459899902344,62.89058303833008,-1.3943562507629395
-45.135459899902344,52.22391319274902,-1.3943562507629395
-45.135459899902344,31.557249069213867,-1.3943562507629395
-45.135459899902344,10.890582084655762,-1.3943562507629395
-45.135459899902344,-9.776084899902344,-1.3943562507629395
-45.135459899902344,-30.44275188446045,-1.3943562507629395
-45.135459899902344,-51.109418869018555,-1.3943562507629395
-45.135459899902344,-61.776084899902344,-1.3943562507629395
-45.135459899902344,-85.77608489990234,-1.3943562507629395
-45.135459899902344,16.86171054840088,-1.3943562507629395
-24.468793869018555,86.89057922363281,-1.3943562507629395
-24.468793869018555,62.89058303833008,-1.3943562507629395
-24.468793869018555,-61.776084899902344,-1.3943562507629395
-24.468793869018555,-85.77608489990234,-1.3943562507629395
-3.135457992553711,86.89057922363281,-1.3943562507629395
-3.135457992553711,62.89058303833008,-1.3943562507629395
-3.135457992553711,-61.776084899902344,-1.3943562507629395
-3.135457992553711,-85.77608489990234,-1.3943562507629395
18.1978702545166,-61.776084899902344,-1.3943562507629395
18.1978702545166,-85.77608489990234,-1.3943562507629395
39.53120422363281,-61.776084899902344,-1.3943562507629395
39.53120422363281,-85.77608489990234,-1.3943562507629395
60.86453628540039,-61.776084899902344,-1.3943562507629395
60.86453628540039,-85.77608489990234,-1.3943562507629395
82.1978759765625,-61.776084899902344,-1.3943562507629395
82.1978759765625,-85.77608489990234,-1.3943562507629395
-73.13545989990234,86.89057922363281,-1.3943562507629395
-73.13545989990234,62.89058303833008,-1.3943562507629395
-73.13545989990234,52.22391319274902,-1.3943562507629395
-73.13545989990234,31.557249069213867,-1.3943562507629395
-73.13545989990234,10.890582084655762,-1.3943562507629395
-73.13545989990234,-9.776084899902344,-1.3943562507629395
-73.13545989990234,-30.44275188446045,-1.3943562507629395
-73.13545989990234,-51.109418869018555,-1.3943562507629395
-73.13545989990234,-61.776084899902344,-1.3943562507629395
-73.13545989990234,-85.77608489990234,-1.3943562507629395
-73.13545989990234,-16.151085376739502,-1.3943562507629395
-73.13545989990234,16.86171054840088,-1.3943562507629395
-64.46879577636719,-85.77608489990234,-1.3943562507629395
-97.13545989990234,86.89057922363281,11.072834968566895
-97.13545989990234,62.89058303833008,11.072834968566895
-97.13545989990234,52.22391319274902,11.072834968566895
-97.13545989990234,31.557249069213867,11.072834968566895
-97.13545989990234,10.890582084655762,11.072834968566895
-97.13545989990234,-9.776084899902344,11.072834968566895
-97.13545989990234,-30.44275188446045,11.072834968566895
-97.13545989990234,-51.109418869018555,11.072834968566895
-97.13545989990234,-61.776084899902344,11.072834968566895
-97.13545989990234,-85.77608489990234,11.072834968566895
-97.13545989990234,-16.151085376739502,11.072834968566895
-97.13545989990234,16.86171054840088,11.072834968566895
-64.46879577636719,86.89057922363281,11.072834968566895
-64.46879577636719,62.89058303833008,11.072834968566895
-64.46879577636719,52.22391319274902,11.072834968566895
-64.46879577636719,31.557249069213867,11.072834968566895
-64.46879577636719,10.890582084655762,11.072834968566895
-64.46879577636719,-9.776084899902344,11.072834968566895
-64.46879577636719,-30.44275188446045,11.072834968566895
-64.46879577636719,-51.109418869018555,11.072834968566895
